ADP,Overall,Name,Position,Team,Times Drafted,Bye
12.04,114.4,Brandon Myers,TE,NYG,410,9
12.05,115.5,Michael Vick,QB,PHI,236,12
12.06,115.8,Johnathan Franklin,RB,GB,272,4
12.07,117.3,Sidney Rice,WR,SEA,263,12
12.08,118.2,Cincinnati Defense,DEF,CIN,295,12
12.09,119.1,Owen Daniels,TE,HOU,362,8
12.10,119.8,Jonathan Stewart,RB,CAR,242,4
13.01,120.6,Justin Blackmon,WR,JAC,261,9
13.01,121.2,Jay Cutler,QB,CHI,230,8
13.01,121.3,Alshon Jeffery,WR,CHI,268,8
13.01,121.4,Stephen Gostkowski,PK,NE,321,10
13.02,121.8,Ben Roethlisberger,QB,PIT,228,5
13.02,122.0,Pierre Thomas,RB,NO,277,7
13.02,122.1,Isaiah Pead,RB,STL,197,11
13.03,123.4,Ryan Broyles,WR,DET,211,9
13.03,123.5,Martellus Bennett,TE,CHI,276,8
13.04,123.8,Zachary Stacy,RB,STL,72,11
13.04,124.2,Mikel Leshoure,RB,DET,182,9
13.05,124.8,New England Defense,DEF,NE,270,10
13.05,125.5,Percy Harvin,WR,SEA,197,12
13.06,125.8,Malcom Floyd,WR,SD,52,8
13.06,126.1,Blair Walsh,PK,MIN,258,5
13.06,126.4,Jacquizz Rodgers,RB,ATL,172,6
13.07,126.5,Denarius Moore,WR,OAK,180,7
13.07,126.7,LaMichael James,RB,SF,68,9
13.07,126.8,Fred Davis,TE,WAS,153,5
13.07,127.2,Tyler Eifert,TE,CIN,134,12
13.08,127.8,Matt Schaub,QB,HOU,73,8
13.08,128.5,Rueben Randle,WR,NYG,169,9
13.09,128.8,Michael Bush,RB,CHI,142,8
13.09,128.8,Brandon Pettigrew,TE,DET,52,9
13.09,128.9,Carson Palmer,QB,ARI,175,9
13.09,129.0,Joe Flacco,QB,BAL,102,8
13.09,129.3,Joseph Randle,RB,DAL,83,11
13.10,130.4,Julian Edelman,WR,NE,139,10
14.01,130.5,Chris Givens,WR,STL,58,11
14.01,131.0,Philip Rivers,QB,SD,62,8
14.01,131.2,Jordan Cameron,TE,CLE,99,10
14.01,131.2,Darrius Heyward-Bey,WR,IND,107,8
14.01,131.3,Josh Freeman,QB,TB,51,5
14.02,131.5,Matt Bryant,PK,ATL,275,6
14.02,131.6,Tampa Bay Defense,DEF,TB,249,5
14.03,132.8,Sam Bradford,QB,STL,54,11
14.04,133.8,Cordarrelle Patterson,WR,MIN,67,5
14.04,134.5,Brian Hartline,WR,MIA,73,6
14.05,134.9,Sebastian Janikowski,PK,OAK,229,7
14.05,135.0,St. Louis Defense,DEF,STL,217,11
14.06,135.8,Pittsburgh Defense,DEF,PIT,116,5
14.06,135.8,Baltimore Defense,DEF,BAL,188,8
14.06,135.9,Matt Prater,PK,DEN,277,9
14.08,137.5,Green Bay Defense,DEF,GB,57,4
14.09,138.9,Arizona Defense,DEF,ARI,92,9
14.09,139.2,Greg Zuerlein,PK,STL,247,11
14.10,139.8,Phil Dawson,PK,SF,199,9
15.03,142.7,Garrett Hartley,PK,NO,155,7
15.03,143.0,Justin Tucker,PK,BAL,139,8
15.03,143.1,Dan Bailey,PK,DAL,153,11
15.04,143.6,David Akers,PK,DET,78,9
15.05,145.4,Mason Crosby,PK,GB,46,4
